id,user_id,contact_id,last_modified_user_id,last_modified_date,created_user_id,created_date
28,28,28,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
29,29,29,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
30,30,30,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
31,31,31,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
32,32,32,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
33,33,33,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
34,34,34,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
35,35,35,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
36,36,36,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
37,37,37,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
38,38,38,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
39,39,39,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
40,40,40,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
41,41,41,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
42,42,42,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
43,43,43,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
44,44,44,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
45,45,45,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
46,46,46,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
47,47,47,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
48,48,48,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
49,49,49,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
50,50,50,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
51,51,51,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
52,52,52,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
53,53,53,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
54,54,54,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
55,55,55,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
56,56,56,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
57,57,57,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
58,58,58,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
59,59,59,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
60,60,60,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
61,61,61,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
62,62,62,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
63,63,63,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
64,64,64,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
65,65,65,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
66,66,66,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
67,67,67,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
68,68,68,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
69,69,69,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
70,70,70,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
71,71,71,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
72,72,72,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
73,73,73,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
74,74,74,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
75,75,75,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
76,76,76,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
77,77,77,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
78,78,78,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
79,79,79,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
80,80,80,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
81,81,81,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
82,82,82,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
83,83,83,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
84,84,84,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
85,85,85,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
86,86,86,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
87,87,87,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
88,88,88,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
89,89,89,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
90,90,90,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
91,91,91,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
92,92,92,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
93,93,93,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
94,94,94,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
95,95,95,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
96,96,96,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
97,97,97,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
98,98,98,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
99,99,99,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
100,100,100,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
101,101,101,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
102,102,102,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
103,103,103,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
105,105,105,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
106,106,106,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
107,107,107,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
108,108,108,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
109,109,109,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
110,110,110,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
111,111,111,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
112,112,112,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
113,113,113,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
