id,sequence_id,firm_id,last_modified_user_id,last_modified_date,created_user_id,created_date
64,64,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
66,66,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
67,67,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
68,68,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
69,69,71,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
70,70,71,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
71,71,72,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
72,72,72,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
73,73,73,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
74,74,78,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
75,75,78,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
76,76,76,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
77,77,76,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
78,78,86,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
79,79,86,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
80,80,86,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
81,81,86,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
82,82,88,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
83,83,88,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
85,85,87,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
86,86,87,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
87,87,87,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
88,88,87,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
89,89,80,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
90,90,80,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
91,91,82,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
92,92,82,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
93,93,82,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
94,94,82,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
95,95,82,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
96,96,83,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
97,97,82,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
98,98,209,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
99,99,209,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
101,101,97,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
102,102,102,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
103,103,98,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
104,104,98,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
105,105,101,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
106,106,101,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
107,107,110,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
108,108,110,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
109,109,42,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
111,111,124,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
112,112,117,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
113,113,116,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
114,114,111,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
115,115,111,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
116,116,52,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
117,117,52,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
118,118,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
120,120,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
121,121,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
122,122,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
123,123,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
124,124,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
125,125,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
127,127,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
128,128,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
129,129,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
130,130,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
131,131,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
132,132,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
133,133,131,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
134,134,133,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
135,135,133,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
136,136,137,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
137,144,83,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
138,145,83,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
139,146,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
140,147,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
141,148,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
142,149,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
143,150,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
144,151,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
145,152,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
146,153,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
147,154,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
148,155,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
149,156,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
150,157,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
151,158,126,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
152,159,33,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
153,160,210,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
154,161,210,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
155,162,36,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
156,163,55,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
157,164,210,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
158,165,124,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
159,166,64,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
160,167,64,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
161,168,89,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
168,175,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
169,176,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
170,177,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
171,178,88,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
175,175,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
176,176,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
177,177,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
178,178,109,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
179,179,88,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
180,180,88,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
181,181,88,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
182,182,21,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
183,183,21,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
184,184,206,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
185,185,70,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
186,186,70,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
187,187,203,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
188,188,70,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
189,189,208,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
190,190,74,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
191,191,84,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
192,192,118,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
193,193,129,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
194,194,5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
195,195,86,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
196,196,23,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
197,204,17,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
198,205,58,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
199,206,44,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
200,207,213,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
201,208,23,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
202,209,86,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
203,210,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
204,211,87,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
205,212,87,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
206,213,111,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
207,214,102,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
208,215,111,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
209,216,210,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
