id,term,short_format,default_duration,snomed_code,snomed_term,last_modified_user_id,last_modified_date,created_user_id,created_date
52,"Repair of prolapsed iris","Repair iris prolapse",30,231728005,"Repair of prolapsed iris",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
53,"Surgical iridotomy","Surgical PI",30,265294002,"Surgical iridotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
54,"Amniotic membrane graft",AmniotiGrft,40,426676006,"Amniotic membrane graft to cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
56,"Astigmatic keratotomy","Astig keratotom",30,313275006,"Astigmatic keratotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
57,"Bandage contact lens",Bandage,20,416582002,"Bandage contact lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
59,"Biopsy of cornea","Corneal biopsy",30,44716001,"Biopsy of cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
61,"Capsulotomy (surgical)",CapsulotomyPost,45,85785001,"Capsulotomy of lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
62,"Capsulotomy (YAG)","YAG caps",45,172532006,"YAG laser capsulotomy of lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
65,"Chelation of cornea","EDTA chelation",45,172436006,"Chelation of cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
66,"Compression suture of graft","Compression sut",45,231716002,"Insertion of corneal tension suture",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
67,"Conjunctival flap","Creatn ConjHood",45,348748006,"Repair of cornea with conjunctival flap",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
68,"Excision of lesion of conjunctiva",ExcisConjLesion,30,39346000,"Excision of lesion of conjunctiva",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
69,"Corneal debridement",Debride,20,172410004,"Debridement of corneal lesion",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
70,"Corneal glue",Glue,30,503003,"Corneal gluing",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
71,"Corneal inlay insertion","Inlay insert",30,413479001,"Alloplastic corneal inlay",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
72,"Corneal inlay removal","Inlay removal",30,413479001,"Alloplastic corneal inlay",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
73,"Corneal suture adjustment",AdjustSuture,30,172421008,"Adjustment to corneal suture",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
74,"Corneal suture removal","removal of sutu",30,172423006,"Removal of corneal suture",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
75,"Corneal vessel diathermy",CornDiath,30,21825005,Diathermy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
76,"Corneal wound suture","Closure cornea",30,62428002,"Suture of cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
77,"Cross-linking of cornea",Cross-linking,60,85952003,Cross-linking,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
78,"DSAEK repositioning","DSAEK reposition",45,421266004,"Descemet's stripping endothelial keratoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
79,"Extracapsular cataract extraction",ECCE,30,13793006,"Extracapsular extraction of lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
80,Epikeratoplasty,Epikeratoplasty,60,40464001,Epikeratophakia,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
81,"Examination under anaesthesia",EUA,30,91177008,"Eye examination under anesthesia",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
82,"Removal of corneal foreign body","Corneal FB",20,172426003,"Removal of foreign body from cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
83,"Injection into eye","inj eye",30,33810006,"Injection of eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
84,"Intrastromal corneal injection",Intrastromal,30,120113002,"Cornea injection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
85,"IOL exchange","Exchange IOL",30,231751005,"Exchange of intraocular lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
86,"IOL insertion - anterior chamber",IOLantcham,30,373416003,"Implantation of anterior chamber intraocular lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
87,"IOL insertion - posterior chamber",IOLpostcham,30,373415004,"Implantation of posterior chamber intraocular lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
88,"IOL insertion - sutured",IOLsuture,60,417709003,"Sutured posterior chamber intraocular lens implantation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
90,"Iridoplasty (occluder)",Pupiloplasty,30,231730007,Iridoplasty,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
91,"Iridoplasty (suture)",Pupiloplasty,30,231730007,Iridoplasty,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
92,"Keratoplasty - anterior lamellar","Ant lam keratop",120,83694000,"Lamellar keratoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
93,"Keratoplasty - automated Moria","Moria ALK",45,293820001,Keratoplasty,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
94,"Keratoplasty - penetrating","Corneal graft",60,42101009,"Penetrating keratoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
95,"Keratoplasty - posterior DMEK",DMEK,120,419191005,"Deep lamellar endothelial keratoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
96,"Keratoplasty - posterior DSAEK",DSAEK,120,421266004,"Descemet's stripping endothelial keratoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
97,"Keratoplasty - rotation autograft",RotationlCorGft,45,70969005,"Penetrating keratoplasty with autograft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
98,"Keratoplasty - tectonic","Graft tectonic",90,293820001,Keratoplasty,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
99,Keratoprosthesis,Kpro,60,27668001,"Insertion of keratoprosthesis",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
100,LASEK/PRK,LASEK/PRK,35,414582004,"Laser assisted subepithelial keratomileusis",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
102,"LASIK flap reposition","LASIK flap",30,447361006,"Repositioning of corneal flap",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
103,"Limbal cell transplant",Limbal,60,397554006,"Limbal stem cell transplantation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
104,"Mucous membrane graft",MMG,30,6818001,"Excision of buccal mucosa",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
105,"Occlusion of lacrimal punctum",OcclLacrPunctm,30,172310003,"Occlusion of lacrimal punctum",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
106,"Phakic IOL insertion","Phakic IOL",45,414470005,"Implantation of phakic intraocular lens implant",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
107,"Pingueculum excision",ExcBxPinguecula,40,193845004,"Excisional biopsy of conjunctiva",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
108,"Pterygium excision & conj auto-grft",ExPteryConjAuGf,45,20466006,"Excision of pterygium with graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
109,"PTK - Laser superficial keratectomy",PTK,35,231705009,"Laser superficial keratectomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
110,"Reformation of AC","Reformation AC",60,172517004,"Reformation of anterior chamber",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
111,"Repair of penetrating injury","Penetrating inj",90,75318004,"Suture of laceration of sclera",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
112,"Scleral graft","Graft to Sclera",60,256918004,"Scleral graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
113,"Subconjunctival injection","Conj inject",15,74410004,"Subconjunctival injection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
114,"Superficial keratectomy","Superficial K",45,172405003,"Superficial keratectomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
116,"Tattooing of cornea","Tattooing corne",30,20975004,"Tattooing of cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
120,"Cyclodialysis cleft repair",CyclodiaClftRep,45,172507009,"Anterior chamber of eye and/or lens operations",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
122,Goniotomy,Goniotomy,30,265292003,Goniotomy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
123,"Graft to sclera",DonorSclera,60,256918004,"Scleral graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
124,"Insertion of aqueous shunt",InsAqueousShunt,90,265291005,"Insertion of drainage tube into anterior chamber",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
125,Iridoplasty,Iridoplasty,45,231730007,Iridoplasty,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
127,"Laser coagulation ciliary body",Cyclodiode,20,35137007,"Photocoagulation of ciliary body",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
128,"Laser iridotomy","Laser PI",20,371345007,"Laser iridotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
129,"Laser trabeculoplasty",ALT,30,172485001,"Laser trabeculoplasty",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
130,"Needling of bleb",NeedlingBleb,45,408763006,"Needle revision of failed filtering bleb",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
131,"Revision of anterior chamber","Revision AC",60,231741009,"Revision of anterior chamber",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
132,"Revision of aqueous shunt",RevAqueousShunt,90,440587008,"Revision of aqueous shunt to extraocular reservoir",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
134,"Revision of trabeculectomy","Revision traby",45,314117007,"Revision of trabeculectomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
135,"Secondary lens implant","Secondary IOL",30,225703004,"Secondary lens implant",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
137,Trabeculectomy,Traby,60,30880003,"Trabeculectomy ab externo",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
138,"Application of 5FU",5FU,20,417129009,"Trabeculectomy with intraoperative application of 5-fluorouracil",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
139,"Application of MMC",MMC,20,416968006,"Trabeculectomy with intraoperative application of mitomycin",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
140,Trabeculotomy,Trabeculotomy,60,82736000,Trabeculotomy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
141,"Application of beta radation","Beta irradiation",60,256243004,"Beta radiation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
146,"Cryotherapy to lesion of retina",Cryo,30,172565003,"Cryotherapy to lesion of retina",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
148,"Aspiration of lens","Aspiration Lens",30,64854001,"Aspiration of lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
150,"Botulinum injection eye muscle",BTXA-muscle,30,231701000,"Botulinum toxin injection into eye muscle",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
151,"Inferior rectus recession","IR recess",30,172331000,"Inferior rectus recession",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
152,"Inferior rectus resection","IR resect",30,172342009,"Inferior rectus resection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
153,"Lateral rectus recession","LR -",30,309873007,"Lateral rectus recession",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
154,"Lateral rectus resection","LR +",30,309874001,"Lateral rectus resection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
155,"Medial rectus recession","MR -",30,309872002,"Medial rectus recession",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
156,"Medial rectus resection","MR +",30,265284007,"Medial rectus resection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
157,"Superior rectus recession","SR -",30,172330004,"Superior rectus recession",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
158,"Superior rectus resection","SR +",30,172341002,"Superior rectus resection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
159,"Adjustable suture",Adjustable,30,15043000,"Adjustable suture technique during strabismus surgery",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
160,"Inferior oblique Faden","IO Faden",45,231698008,"Inferior oblique Faden",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
161,"Knapp procedure",Knapp,30,231653002,"Medial rectus vertical transposition",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
162,"Medial rectus vertical transposition","MR vert trans",30,231653002,"Medial rectus vertical transposition",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
163,"Superior oblique recession","SO -",30,172332007,"Superior oblique recession",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
164,"Superior oblique tenotomy","SO tenotomy",30,172354009,"Superior oblique tenotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
165,"Cryotherapy retinopexy",Cryo,20,428435002,"Retinopexy using cryotherapy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
166,Delamination,Delam,45,257788009,Delamination,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
167,"External drainage of SRF",Drain,10,172462002,"Drainage of subretinal fluid through sclera",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
168,"Epiretinal membrane peel",Peel,20,172571009,"Epiretinal dissection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
170,"Fragmatome lensectomy",Frag,30,231750006,"Pars plana lensectomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
171,"Injection of gas",Gas,10,66205002,"Injection of gas",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
172,"Internal limiting membrane peel",ILM,20,310558000,"Preretinal membranectomy by peeling",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
173,"Insertion of IOL",IOL,20,69724002,"Insertion of intraocular lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
174,"Intravitreal injection",Intravit,10,231755001,"Injection of drug into vitreous",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
175,"Peripheral iridectomy",PI,10,231724007,"Peripheral iridectomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
176,"Laser retinopexy",Laser,20,287588003,"Laser retinal adhesion formation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
177,"Panretinal photocoagulation",PRP,30,312713003,"Panretinal photocoagulation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
179,"Removal of buckle","RO buckle",20,371394007,"Removal of scleral buckle",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
180,"Removal of intraocular foreign body",IOFB,45,53570002,"Removal of foreign body from eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
182,"Removal of oil",ROO,30,231783004,"Removal of silicone oil from vitreous",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
184,"Biopsy of retina","Ret biopsy",40,172573007,"Biopsy of retinal lesion",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
185,Retinectomy,Retinectomy,40,231775005,Retinectomy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
186,"Scleral buckle",Buckle,60,26786002,"Scleral buckling",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
187,"Injection of silicone oil",Oil,20,231779004,"Injection of silicone oil into vitreous",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
188,Vitrectomy,Vity,60,75732000,Vitrectomy,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
189,"Biopsy of vitreous","Vit biopsy",20,231754002,"Biopsy of vitreous",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
190,"Superior oblique tuck","SO tuck",40,231681008,"Superior oblique plication",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
191,"Insertion of Intacs","Intacs ",30,304273001,"Corneal implant",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
192,"Removal of Intacs","Removal of Intacs",30,172426003,"Removal of foreign body from cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
193,"Reconstruction of orbit","Orb recn",90,172157006,"Reconstruction of orbital cavity with local skin flap",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
194,"Excision of lesion of eyebrow","Excision eyebrow lesion",30,36436000,"Excision of lesion of eyebrow",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
195,"Excision of lesion of canthus","Excision cathal lesion",30,172196000,"Excision of lesion of canthus",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
197,"Insertion of gold weight","Gld wt",40,172280008,"Insertion of gold weight into upper eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
198,"Excision of lacrimal gland","Excision of lacrimal gland",60,231627005,"Total excision of lacrimal gland",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
199,"Removal of tube from nasolacrimal duct","Removal tube",20,172304003,"Removal of tube from nasolacrimal duct",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
202,"Superior oblique Harada-Ito",Haradi-Ito,50,231687007,"Superior oblique Harada-Ito procedure",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
205,"Subretinal membranectomy","Removal of CNV",60,231773003,"Subretinal membranectomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
206,"Removal of gas","Removal of gas",20,231781002,"Removal of intravitreal gas/fluid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
207,"Removal of orbital implant","Orb implnt removal",30,35829002,"Removal of orbital implant",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
208,LASIK,LASIK,20,312965008,"Laser assisted in situ keratomileusis",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
210,"Allogenic implant","Al implnt",40,18267000,"Implantation of facial bone, synthetic or alloplastic",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
211,"Dermis fat graft",DFG,30,180849006,"Harvest of other tissue",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
212,"Ear cartilage graft","Aur cart",30,426098003,"Harvest of cartilage from ear",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
213,Endoscopy,Enscpy,20,25570002,"Endoscopy of nose",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
214,"Hardpalate graft",HPG,30,53958007,"Harvesting of donor material",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
216,"Sentinel node biopsy",SNB,90,396487001,"Sentinel lymph node biopsy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
217,"Split skin graft","Split skin",30,180715005,"Harvest of split skin for graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
220,"Biopsy of lacrimal gland","Lacrimal gland biopsy",45,197922007,"Biopsy of lacrimal gland",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
221,"Other procedure on lacrimal gland","Lacrimal gland - other",60,118772009,"Procedure on lacrimal gland",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
222,"Biopsy of lacrimal sac","Lsac Bx",45,202568006,"Biopsy of lacrimal sac",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
223,"Excision of lacrimal sac","Lacrimal sac - excision",60,61443003,"Excision of lesion of lacrimal sac",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
224,"Repair of canaliculus","Rep canaliculus",45,76143007,"Repair of canaliculus of lacrimal system",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
225,"Lid lowering anterior approach","Lid low ant",45,412719003,"Lowering of upper eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
226,"Lid lowering posterior approach","Lid low post",45,231615007,"Lamellar division and slide of upper eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
227,"Reformation of skin crease","Skin crease reformation",60,118912008,"Procedure on eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
231,"Brow lift - direct","Brow lift - direct",60,428590006,"Direct browlift ",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
232,"Brow lift - internal","Brow lift - indirect",60,427799006,"Internal browlift",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
