id,name,last_modified_date,last_modified_user_id,created_user_id,created_date
54,"retinal break","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
55,"cataract","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
56,"secondary lid malposition","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
57,"futher surgery","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
58,"asymmetry","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
59,"inability to fully close eye","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
60,"lid hang-up on downgaze","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
61,"\"hollow\" appearance to lids","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
62,"failure to cure blepharospasm","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
63,"Temporary double vision","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
64,"temporary drooping of eyelid","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
65,"haemorrhage on eye surface","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
66,"temporary reversal of direction of squint","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
67,"needle perforation","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
68,"no response","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
69,"allergic reaction","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
70,"drooping upper lid","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
71,"drooping of lower lid (ectropion)","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
72,"corneal exposure","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
73,"suture granuloma","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
74,"failure","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
75,"granuloma formation","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
76,"damage to tendon at harvest site","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
77,"haematoma/abscess at harvest site","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
78,"leg pain or pain walking","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
79,"extrusion of suspension material","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
80,"recurrence and need for repeat procedures","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
81,"damage to canaliculus","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
82,"altered appearance","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
83,"failure to correct lid position","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
84,"overcorrection of lid position","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
85,"lens implant dislocation","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
86,"Inflammation of eye","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
87,"increase in floaters","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
88,"change in refraction","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
89,"pitting of the lens implant","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
90,"scarring of cornea","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
91,"Failure to improve astigmatism","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
92,"worsening of astigmatism","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
93,"Failure to improve comfort or to prevent ocular surface breakdown","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
94,"short-term discomfort","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
95,"Pain","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
96,"persistent epithelial defect","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
97,"Failure to seal the leak in the cornea","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
98,"need for tectonic corneal graft","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
99,"failure to prevent intraocular infection","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
100,"Failure to reduce astigmatism","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
101,"extrusion","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
102,"visual disturbance such as glare or halos","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
103,"failure to reverse problems caused by corneal inlay insertion","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
104,"suture breakage","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
105,"wound dehiscence","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
106,"need for resuturing","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
107,"Wound dehiscence","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
108,"change in astigmatism","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
109,"Failure to permanently occlude corneal blood vessels","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
110,"Endophthalmitis (1:1500 per injection)","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
111,"vitreous haemorrhage","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
112,"intraocular inflammation","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
113,"raised intraocular pressure","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
114,"red eye","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
115,"floaters","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
116,"headache","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
117,"hypertension","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
118,"stroke","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
119,"need for corneal transplant","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
120,"cryonecrosis","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
121,"skin necrosis","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
122,"damage to adjacent tissue","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
123,"whitening/loss of lashes","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
124,"loss of skin pigmentation","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
125,"bleeding (including nose bleed)","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
126,"lid malposition","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
127,"including anaphylaxis","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
128,"extrusion of tube onto ocular surface","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
129,"eye irritation","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
130,"air blow-back","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
131,"lower lid weakness/incomplete lid closure","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
132,"failure of surgery","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
133,"air reflux","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
134,"lower lid weakness","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
135,"damage to other canaliculus","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
136,"bruising","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
137,"visual loss","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
138,"loss of visual field","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
139,"change in size of pupil","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
140,"double vision (temporary/permanent)","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
141,"loss of reduction in sensation to skin around eye","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
142,"\"wobbly vision\" when chewing","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
143,"unable to remove membranes","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
144,"need for silicone oil","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
145,"inadequate/excessive volume","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
146,"fluctating volume with body weight","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
147,"loss of volume over time","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
148,"further surgery early/late","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
149,"infection/bleeding/scarring/wound breakdown (dehiscence) at donor site","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
150,"pain/inflammation","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
151,"inadequate volume","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
152,"fluctuating volume with body weight","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
153,"dry eye","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
154,"recollection of abscess","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
155,"sinus formation","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
156,"need for repeat transplantation","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
157,"graft failure/shrinkage","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
158,"visible graft in eyelid","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
159,"donor site slow to heal/granuloma","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
160,"secondary entropion","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
161,"pain over orbital rim following lateral canthoplasty","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
162,"scarring/entropion","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
163,"nose bleed","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
164,"secondary ectropion","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
165,"mild retraction in upper lid repair","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
166,"upper lid retraction","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
167,"extrusion of implant","2013-05-20 12:08:53",1,1,"2013-05-20 12:08:53"
168,"risk to vision in fellow eye (sympathic ophthalmia)","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
169,"risk to vision in fellow eye (sympathetic ophthalmia)","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
170,"Risks of anaesthetic","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
171,"corneal abrasion","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
172,"discomfort","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
173,"damage to deeper structures","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
174,"poor cosmesis","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
175,"granuloma/osteophyte formation","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
176,"recurrence of tumour","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
177,"droopy eyelid (ptosis)","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
178,"choroidal haemorrhage","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
179,"retinal incarceration","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
180,"suture related astigmatism","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
181,"infection/abscess","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
182,"bleeding/haematoma","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
183,"damage to tendon","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
184,"Nausea","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
185,"vomiting","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
186,"yellow skin and urine","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
187,"itching","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
188,"shortness of breath","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
189,"severe allergic reaction","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
190,"graft failure/contraction","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
191,"poor match colour/thickness","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
192,"Further surgery","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
193,"Low eye pressure","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
194,"Haemorrhage","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
195,"hole in palate (fistula)","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
196,"Swelling and bruising","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
197,"allergy to eyedrops","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
198,"loss of vision (\"remote chance\")","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
199,"further injections/surgery","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
200,"High eye pressure","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
201,"Inflammation","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
202,"Red eye","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
203,"Droopy eyelid","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
204,"Corneal swelling","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
205,"Use of donor tissue (unable to donate blood, minimal risk of infection)","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
206,"Progression of cataract","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
207,"Severe infection","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
208,"Further surgery 5%","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
209,"Double Vision","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
210,"overcorrection/undercorrection of lid height","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
211,"early/late migration or extrusion of weight","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
212,"worsening of lid closure","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
213,"need for glasses or contact lenses","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
214,"extrusion of expander","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
215,"retinal trauma","2013-05-20 12:08:54",1,1,"2013-05-20 12:08:54"
216,"glaucoma","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
217,"retained lens fragments in vitreous cavity","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
218,"loss of sight","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
219,"flap dislocation","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
220,"need for flap revision/retreatment","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
221,"need for repeat injection","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
222,"therapeutic failure","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
223,"suppression of immune system","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
224,"high blood pressure","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
225,"gastric ulceration","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
226,"diabetes","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
227,"altered mood","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
228,"osteoporosis (prolonged use)","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
229,"liver damage","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
230,"hip joint damage","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
231,"haemorrhge","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
232,"posterior  capsular tear","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
233,"need for spectacle wear","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
234,"posterior	capsular tear","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
235,"Transient rise in eye pressure","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
236,"Transient change in vision 20%","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
237,"Glare 1%","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
238,"change in size / shape / position of pupil","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
239,"loss of vision / urgent surgery 1 in 5000","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
240,"further eyedrops / laser / surgery","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
241,"iris dialysis","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
242,"failure to achieve symmetrical pupil size/shape","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
243,"escalation of glaucoma","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
244,"graft rejection","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
245,"failure of lamellae to reappose","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
246,"failure of lamllae to reappose","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
247,"graft dislocation","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
248,"failure to improve vision","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
249,"need for lifelong topical antibiotic","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
250,"premature stent loss","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
251,"ectasia","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
252,"need to continue spectacle or contact lens wear","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
253,"Blurred vision","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
254,"Further laser","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
255,"Severe haemorrhage","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
256,"Seeing horizontal / vertical line 5%","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
257,"need for further laser","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
258,"increased eye pressure","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
259,"corneal clouding","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
260,"pain","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
261,"reduced vision","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
262,"epithelial ingrowth","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
263,"damage to flap","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
264,"blockage/loss of tube","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
265,"variable/unpredictable result (overcorrection/undercorrection)","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
266,"skin crease change/loss","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
267,"full thickness corneal perforation","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
268,"no change to astigmatism","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
269,"donor site slow to heal/granuloma if autologous","2013-05-20 12:08:55",1,1,"2013-05-20 12:08:55"
270,"damage to salivary gland duct","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
271,"numbness of lower lip","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
272,"failure/recanalisation of punctum","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
273,"entropion","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
274,"watering eye","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
275,"failure to improve ocular discomfort","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
276,"\"lumpy\" appearance","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
277,"\"hollow\" appearance","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
278,"high eye pressure","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
279,"corneal decompensation","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
280,"need to wear spectacles or contact lenses to achieve best vision","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
281,"1:1000 risk of severe or permanent visual loss","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
282,"1:100 risk of need for further surgery","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
283,"1:20 complications during surgery that can be rectified at time of surgery or following the operation","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
284,"1:10 need laser at some future point in time (specifically: retinal detachment, major haemorrhage, infection, cystoid macular oedema)","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
285,"failure to relieve ocular discomfort","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
286,"prolonged post-operative red eye","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
287,"increased ptosis on other side","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
288,"scarring/restenosis","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
289,"Loss of vision","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
290,"treatment failure","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
291,"further treatment","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
292,"uveitis","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
293,"secondary enucleation","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
294,"metastatic risk","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
295,"failure of flap","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
296,"damage to facial nerve","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
297,"failure of graft","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
298,"scleromalacia","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
299,"delayed corneal healing","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
300,"infections","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
301,"perforation","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
302,"leaking after foreign body removal.","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
303,"wound gape","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
304,"intraocular infection","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
305,"hypotony","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
306,"failure to completely remove foreign body","2013-05-20 12:08:56",1,1,"2013-05-20 12:08:56"
307,"enophthalmos (sunken eye)","2013-05-20 12:08:57",1,1,"2013-05-20 12:08:57"
308,"failure to retrieve tube","2013-05-20 12:08:57",1,1,"2013-05-20 12:08:57"
309,"inability to identify cut ends","2013-05-20 12:08:57",1,1,"2013-05-20 12:08:57"
310,"extrusion of stent","2013-05-20 12:08:57",1,1,"2013-05-20 12:08:57"
311,"enopthalmos (sunken eye)/exophthalmos (bulging eye)","2013-05-20 12:08:57",1,1,"2013-05-20 12:08:57"
312,"eye set too high or too low","2013-05-20 12:08:57",1,1,"2013-05-20 12:08:57"
313,"wound leaking","2013-05-20 12:08:57",1,1,"2013-05-20 12:08:57"
