"id","term","short_format","default_duration","snomed_code","snomed_term","unbooked"
303,"Medial rectus Faden","MR Faden",45,"231654008","Medial rectus Faden",0
304,"Superior oblique Faden","SO Faden",45,"231689005","Superior oblique Faden",0
305,"Superior rectus Faden","SR Faden",45,"231672002","Superior rectus Faden",0
306,"Superior oblique disinsertion","SO disinsertion",40,"231684000","Superior oblique disinsertion",0
307,"Lateral rectus vertical transposition","LR vert trans",90,"231665003","Lateral rectus vertical transposition",0
308,"Phakoemulsification and IOL","Phako/IOL",30,"415089008","Phacoemulsification of cataract with intraocular lens implantation",0
310,"Femtosecond astigmatic keratotomy","FSAK",30,"313275006","Astigmatic keratotomy",0
311,"IntraLASIK Eye Surgery","IntraLASIK",20,"312965008","Laser assisted in situ keratomileusis",0
312,"Biopsy of temporal artery","TempArtryBiopsy",40,"72821000","Biopsy of temporal artery",0
313,"Combined operation on eye muscles","Squint opn",60,"172318005","Combined operation on eye muscles",0
314,"Decompression of optic nerve","ONSD-opticdecom",60,"171652004","Decompression of optic nerve",0
315,"Inferior rectus horizontal transposition","IR transposition",25,"231678003","Inferior rectus horizontal transposition",0
316,"Inferior oblique anterior transposition","IO ant trans",40,"231695006","Inferior oblique anterior transposition",0
317,"Inferior oblique disinsertion","IO -",40,"231694005","Inferior oblique disinsertion",0
318,"Other extraction of lens","Other extract lens",30,"75170007","Extraction of lens of eye",0
319,"Superior rectus horizontal transposition","SR transposition",25,"231671009","Superior rectus horizontal transposition",0
320,"Superior oblique anterior transposition","SO ant transposition",0,"231685004","Superior oblique anterior transposition",0
321,"Biopsy of choroid","Chor biopsy",30,"231787003","Biopsy of lesion of choroid",0
322,"Revision of IOL","Revision IOL",45,"172542008","Revision of intraocular lens",0
323,"Extracapsular cataract extraction and insertion of IOL","ECCE/IOL",30,"308694002","Extracapsular cataract extraction and insertion of intraocular lens",0
324,"Injection into anterior chamber","Inj AC",40,"4143006","Injection into anterior chamber",1
325,"Biopsy of iris","Biopsy Iris",30,"25302008","Biopsy of iris",0
326,"Retrobulbar steroid injection","Retro steroid",15,"410565007","Retrobulbar steroid injection",1
327,"Periocular steroid injection","Periocular steroid",15,"410563000","Periocular steroid injection",1
328,"Radioactive plaque","Plaque",45,"429057009","Plaque radiotherapy of lesion of retina",0
329,"Cryotherapy of ciliary body","CycloCryo",30,"71091006","Cryotherapy of ciliary body",0
330,"Three snip procedure","Three snip",30,"172311004","Three snip procedure to eyelid",0
331,"Lateral canthal sling","Lat canth sling",40,"231590007","Lateral canthal sling",0
332,"Tarsoconjunctival diamond excision","Tarsoconj diamond",40,"231603008","Tarsoconjunctival diamond excision",0
333,"Drainage of suprachoroidal fluid","Drain Supra",60,"231788008","Drainage of suprachoroidal fluid",0
334,"Repair orbital floor","Repair Orbit",60,"239385005","Repair orbital floor",0
335,"Redo external DCR","RedoDCR",90,"265281004","Canaliculodacryocystorhinostomy",0
336,"Other procedure on eyelid","Lid - other",60,"118912008","Procedure on eyelid",0
337,"Other procedure on orbit","Orbit - other",60,"172189002","Orbit operations NOS",0
338,"Removal of aqueous shunt","RemAqueousShunt",90,"440587008","Revision of aqueous shunt to extraocular reservoir",0
339,"Dexamethasone 700microgram intravitreal implant","Ozurdex",30,"419222003","Implantation of intravitreal device",0
340,"Limbal relaxing incision ","Limbal Rel Incn",10,"397313004","Limbal relaxing incision",0
341,"Posterior synechiolysis","Post syn lysis",10,"44958007","Lysis of posterior adhesions of iris",0
342,"Anterior synechiolysis","Ant syn lysis",10,"55931003","Lysis of anterior adhesions of iris",0
343,"Biopsy of buccal mucosa","Buccal biopsy",20,"6818001","Excision of buccal mucosa",0
344,"Fluorescein angiography","FFA",15,"172581008","Fluorescein angiography of eye",1
345,"Intracapsular cataract extraction","ICCE",30,"260216002","Intra-capsular cataract extraction",0
346,"Removal of eyelash","Epilation",5,"398072007","Removal of eyelash",0
347,"Removal of foreign body from conjunctiva","Conj FB removal",5,"78362007","Removal of foreign body from conjunctiva",0
348,"Excision of lesion of cornea","Excision of corneal lesion",10,"75588007","Excision of lesion of cornea",0
349,"Adjustment to corneal suture","Adjust corneal suture",5,"172421008","Adjustment to corneal suture",0
350,"Insertion of bandage contact lens","Bandage lens",10,"428497007","Insertion of therapeutic contact lens into cornea",0
351,"Removal of releasable suture following glaucoma surgery","Removal of releasable suture",10,"426877004","Removal of releasable suture following glaucoma surgery",0
352,"Reformation of anterior chamber","Reform AC",10,"172517004","Reformation of anterior chamber",0
353,"Topical local anaesthetic to eye","Topical anaesthetic",0,"231346001","Topical local anesthetic to eye",0
354,"Conjunctival swab","Conj swab",5,"312855001","Taking conjunctival swab",0
355,"Indocyanine green angiography","ICG angiogram",30,"252823001","Indocyanine green angiography",0
356,"B scan ultrasound of eye","B scan",20,"241452002","Orbital B scan",0
357,"Scanning laser ophthalmoscopy","SLO",20,"252846004","Scanning laser ophthalmoscopy",0
358,"Optical coherence tomography","OCT",15,"392010000","Optical coherence tomography",0
359,"Insertion of sustained release device into posterior segment of eye","Insertion slow release",80,"428618008","Insertion of sustained release device into posterior segment of eye",0
360,"Trabectome","Trabectome",20,"11000163100","Trabectome",0
361,"Repair of eyelid laceration, full-thickness involving lid margin","Lid laceration full",30,"361162007","Repair of eyelid laceration, full-thickness involving lid margin",0
362,"Repair of eyelid laceration, partial-thickness involving lid margin","Lid laceration partial",30,"361157006","Repair of eyelid laceration, partial-thickness involving lid margin",0
363,"Cycloablation","Cycloablation",20,"397537003","Laser cycloablation",0
364,"Focal laser photocoagulation","Focal laser",15,"397538008","Focal laser photocoagulation of retina",0
365,"Laser demarcation","Demarcation",20,"85231002","Repair of retinal detachment by laser photocoagulation",0
366,"Laser gonioplasty","Laser gonioplasty",10,"404638008","Laser gonioplasty",0
367,"Laser hyaloidotomy","Hyaloidotomy",10,"82627009","Discission of vitreous strands by anterior approach",0
368,"Laser iridoplasty","Laser iridoplasty",20,"424830006","Laser iridoplasty",0
369,"Laser to chorioretinal lesion","Laser to CR lesion",30,"446107007","Focal photocoagulation of chorioretinal lesion using laser",0
370,"Laser vitreolysis","Vitreolysis",15,"439522009","Lysis of adhesions of vitreous",0
371,"Macular grid","Grid",10,"397539000","Grid retinal photocoagulation",0
372,"Selective laser trabeculoplasty","Selective laser trab",20,"392028003","Selective laser trabeculoplasty",0
373,"Suture lysis","Lysis",10,"35631009","Laser surgery",0
